2015-001,FALCON 9 R/B|DRAGON CRS-5 DEB,DRAGON CRS-5,United States,2015-01-10
2015-002,ATLAS 5 CENTAUR R/B,MUOS-3,United States,2015-01-21
2015-003,N/A,SMAP|FIREBIRD 3|FIREBIRD 4|GRIFEX|EXOCUBE,United States,2015-01-31
2015-004,H-2A R/B|H-2A DEB,IGS 9A,Japan,2015-02-01
2015-005,BREEZE-M R/B|BREEZE-M DEB [TANK],INMARSAT 5-F2,International Mobile Satellite Organization (INMARSAT),2015-02-01
2015-006,SAFIR 1B R/B,FAJR,Iran,2015-02-02
2015-007,FALCON 9 R/B,DSCOVR,United States,2015-02-11
2015-008,SL-4 R/B,PROGRESS-M 26M,Russia,2015-02-17
2015-009,SL-4 R/B,COSMOS 2503,Russia,2015-02-27
2015-010,FALCON 9 R/B,ABS-3A|EUTELSAT 115 WEST B,Asia Broadcast Satellite,2015-03-02
2015-011,ATLAS 5 CENTAUR R/B,MMS 1|MMS 2|MMS 3|MMS 4,United States,2015-03-13
2015-012,BREEZE-M R/B|BREEZE-M DEB [TANK],EXPRESS-AM7,Russia,2015-03-18
2015-013,DELTA 4 R/B|DELTA 4 DEB,NAVSTAR 73 (USA 260),United States,2015-03-25
2015-014,SL-24 DEB|SL-24 R/B,KOMPSAT-3A,Republic of Korea,2015-03-25
2015-015,H-2A R/B|H-2A DEB,IGS OPTICAL 5,Japan,2015-03-26
2015-016,SL-4 R/B,SOYUZ-TMA 16M,Russia,2015-03-27
2015-017,FREGAT R/B,GSAT0203|GSAT0204,European Space Agency,2015-03-27
2015-018,PSLV R/B,IRNSS-1D,India,2015-03-28
2015-019,CZ-3C R/B,BEIDOU I1-S,People's Republic of China,2015-03-30
2015-020,BREEZE-KM R/B,GONETS-M 11|GONETS-M 12|GONETS-M 13|COSMOS 2504,Russia,2015-03-31
2015-021,FALCON 9 R/B|DRAGON CRS-6 DEB,DRAGON CRS-6,United States,2015-04-14
