CIS,Russia
US,United States
PRC,People's Republic of China
JPN,Japan
ITSO,International Telecommunications Satellite Organization (INTELSAT)
IND,India
SES,SES
ESA,European Space Agency
FR,France
EUTE,European Telecommunications Satellite Organization (EUTELSAT)
CA,Canada
UK,United Kingdom
GER,Germany
IT,Italy
GLOB,Globalstar
ISRA,Israel
SPN,Spain
IM,International Mobile Satellite Organization (INMARSAT)
INDO,Indonesia
NATO,North Atlantic Treaty Organization
AB,Arab Satellite Communications Organization
SKOR,Republic of Korea
AUS,Australia
ESRO,European Space Research Organization
AC,Asia Satellite Telecommunications Company (ASIASAT)
BRAZ,Brazil
ORB,ORBCOMM
ABS,Asia Broadcast Satellite
SWED,Sweden
NETH,Netherlands
NOR,Norway
THAI,Thailand
EGYP,Egypt
CHBZ,China/Brazil
UAE,United Arab Emirates
PAKI,Pakistan
MEX,Mexico
ISS,International Space Station
ROC,Taiwan (Republic of China)
TURK,Turkey
KAZ,Kazakhstan
MALA,Malaysia
IRAN,Iran
O3B,O3b Networks
FGER,France/Germany
GREC,Greece
ARGN,Argentina
EUME,European Organization for the Exploitation of Meteorological Satellites (EUMETSAT)
NIG,Nigeria
VENZ,Venezuela
RP,Philippines (Republic of the Philippines)
STCT,Singapore/Taiwan
SEAL,Sea Launch
SAUD,Saudi Arabia
NICO,New ICO
ALG,Algeria
USBZ,United States/Brazil
RASC,RascomStar-QAF
VTNM,Vietnam
NKOR,Democratic People's Republic of Korea
BOL,Bolivia
SAFR,South Africa
