International Designator,Launch Vehicle,Payload,Country,Launch date
1957-001,SL-1 R/B,SPUTNIK 1,CIS,1957-10-04
1957-002,N/A,SPUTNIK 2,CIS,1957-11-03
1958-001,N/A,EXPLORER 1,US,1958-02-01
1958-002,VANGUARD R/B|VANGUARD DEB,VANGUARD 1,US,1958-03-17
1958-003,N/A,EXPLORER 3,US,1958-03-26
1958-004,SL-1 R/B,SPUTNIK 3,CIS,1958-05-15
1958-005,N/A,EXPLORER 4,US,1958-07-26
1958-006,N/A,SCORE,US,1958-12-18
1958-007,N/A,PIONEER 1,US,1958-10-11
1958-008,N/A,PIONEER 3,US,1958-12-06
1959-001,VANGUARD R/B|VANGUARD DEB,VANGUARD 2,US,1959-02-17
1959-002,N/A,DISCOVERER 1,US,1959-02-28
1959-003,N/A,DISCOVERER 2,US,1959-04-13
1959-004,THOR ABLE R/B,EXPLORER 6,US,1959-08-07
1959-005,DISCOVERER 5 CAPSULE,DISCOVERER 5,US,1959-08-13
1959-006,N/A,DISCOVERER 6,US,1959-08-19
1959-007,VANGUARD 3 DEB,VANGUARD 3,US,1959-09-18
1959-008,N/A,LUNA 3,CIS,1959-10-04
1959-009,JUNO II R/B,EXPLORER 7,US,1959-10-13
1959-010,N/A,DISCOVERER 7,US,1959-11-07
1959-011,N/A,DISCOVERER 8,US,1959-11-20
1959-012,N/A,LUNA 1,CIS,1959-01-02
1959-013,N/A,PIONEER 4,US,1959-03-03
1959-014,N/A,LUNA 2,CIS,1959-09-12
1960-001,N/A,PIONEER 5,US,1960-03-11
1960-002,THOR ABLE R/B|THOR ABLE DEB [YO],TIROS 1,US,1960-04-01
1960-003,THOR ABLESTAR R/B|THOR ABLESTAR DEB,TRANSIT 1B,US,1960-04-13
1960-004,N/A,DISCOVERER 11,US,1960-04-15
1960-005,SL-3 R/B|SPUTNIK 4 DEB,SPUTNIK 4|SPUTNIK 4 CABIN,CIS,1960-05-15
1960-006,MIDAS 2 DEB,MIDAS 2,US,1960-05-24
1960-007,THOR ABLESTAR R/B|THOR ABLESTAR DEB,TRANSIT 2A|SOLRAD 1 (GREB),US,1960-06-22
1960-008,N/A,DISCOVERER 13,US,1960-08-10
1960-009,DELTA 1 R/B|ECHO 1 DEB [METAL OBJ]|ECHO 1 DEB [MYLAR OBJ]|ECHO 1 DEB [METAL OBJ],ECHO 1,US,1960-08-12
1960-010,N/A,DISCOVERER 14,US,1960-08-18
1960-011,SL-3 R/B,SPUTNIK 5,CIS,1960-08-19
1960-012,N/A,DISCOVERER 15,US,1960-09-13
1960-013,THOR ABLESTAR R/B,COURIER 1B,US,1960-10-04
1960-014,JUNO II R/B|JUNO II DEB,EXPLORER 8,US,1960-11-03
1960-015,N/A,DISCOVERER 17,US,1960-11-12
1960-016,DELTA 1 R/B|DELTA 1 DEB|TIROS 2 DEB,TIROS 2,US,1960-11-23
1960-017,SL-3 R/B,SPUTNIK 6,CIS,1960-12-01
1960-018,N/A,DISCOVERER 18,US,1960-12-07
1960-019,N/A,DISCOVERER 19,US,1960-12-20
1961-001,ATLAS AGENA A R/B,SAMOS 2,US,1961-01-31
1961-002,SL-6 R/B|SL-6 DEB,SPUTNIK 7,CIS,1961-02-04
1961-003,SL-6 R/B|SL-6 DEB,VENERA 1|SPUTNIK 8,CIS,1961-02-12
1961-004,SCOUT X-1 R/B|SCOUT X-1 DEB,EXPLORER 9,US,1961-02-16
1961-005,DISCOVERER 20 DEB,DISCOVERER 20,US,1961-02-17
1961-006,N/A,DISCOVERER 21,US,1961-02-18
